Speaker,Start Time,End Time
SPEAKER_00,6.171477079796265,8.191850594227505
SPEAKER_00,8.938879456706282,10.653650254668932
SPEAKER_00,12.30050933786078,16.001697792869273
SPEAKER_00,16.103565365025467,18.08998302207131
SPEAKER_00,154.35483870967744,154.7962648556876
SPEAKER_00,155.4414261460102,155.6621392190153
SPEAKER_00,278.1578947368421,278.25976230899835
SPEAKER_00,278.276740237691,278.37860780984727
SPEAKER_00,282.23259762309,282.99660441426147
SPEAKER_00,284.5925297113753,284.6434634974533
SPEAKER_00,284.7792869269949,284.98302207130735
SPEAKER_00,293.4889643463498,294.8641765704584
SPEAKER_00,296.15449915110355,302.911714770798
SPEAKER_00,303.2003395585739,304.6774193548388
SPEAKER_00,305.2886247877759,306.74872665534804
SPEAKER_00,307.03735144312395,309.2614601018676
SPEAKER_00,310.3140916808149,311.1460101867573
SPEAKER_00,311.41765704584043,312.4872665534805
SPEAKER_00,312.70797962648555,329.1935483870968
SPEAKER_00,330.3310696095076,333.96434634974537
SPEAKER_00,334.52461799660443,337.63157894736844
SPEAKER_00,338.9049235993209,339.4821731748726
SPEAKER_00,341.7572156196944,343.08149405772497
SPEAKER_00,345.1188455008489,347.32597623089987
SPEAKER_00,348.34465195246185,368.8539898132428
SPEAKER_00,369.7538200339559,373.981324278438
SPEAKER_00,378.3106960950764,378.88794567062826
SPEAKER_01,18.73514431239389,19.006791171477083
SPEAKER_01,65.5263157894737,72.1986417657046
SPEAKER_01,72.2495755517827,77.02037351443124
SPEAKER_01,77.61460101867573,83.69269949066214
SPEAKER_01,87.34295415959252,91.97792869269948
SPEAKER_01,93.72665534804752,96.15449915110358
SPEAKER_01,105.4753820033956,115.509337860781
SPEAKER_01,118.3616298811545,122.96264855687608
SPEAKER_01,124.830220713073,127.32597623089984
SPEAKER_01,156.85059422750425,160.84040747028862
SPEAKER_01,161.6893039049236,184.15110356536505
SPEAKER_01,184.5755517826825,194.9151103565365
SPEAKER_01,195.0,196.40916808149407
SPEAKER_01,196.79966044142617,197.85229202037357
SPEAKER_01,199.0067911714771,200.16129032258067
SPEAKER_01,200.87436332767405,201.8590831918506
SPEAKER_01,202.53820033955856,203.590831918506
SPEAKER_01,204.33786078098476,205.6451612903226
SPEAKER_01,206.018675721562,208.8879456706282
SPEAKER_01,209.3633276740238,210.46689303904924
SPEAKER_01,211.1290322580645,211.9779286926995
SPEAKER_01,213.0305602716469,214.30390492359933
SPEAKER_01,215.0509337860781,216.6129032258065
SPEAKER_01,217.1731748726656,218.5823429541596
SPEAKER_01,219.82173174872668,220.94227504244483
SPEAKER_01,222.4193548387097,223.5229202037352
SPEAKER_01,224.7283531409168,226.2563667232598
SPEAKER_01,227.20713073005092,228.4125636672326
SPEAKER_01,229.34634974533108,232.0797962648557
SPEAKER_01,232.99660441426147,234.25297113752123
SPEAKER_01,235.4414261460102,236.78268251273343
SPEAKER_01,237.58064516129036,239.4482173174873
SPEAKER_01,241.02716468590836,244.28692699490665
SPEAKER_01,254.9660441426146,257.00339558573853
SPEAKER_03,32.792869269949065,38.58234295415959
SPEAKER_03,39.04074702886248,49.940577249575554
SPEAKER_03,52.24957555178269,59.787775891341255
SPEAKER_03,96.93548387096774,99.10865874363328
SPEAKER_03,99.70288624787776,104.11714770797964
SPEAKER_03,128.5483870967742,130.24617996604417
SPEAKER_03,132.18166383701188,141.50254668930393
SPEAKER_03,142.2156196943973,154.26994906621394
SPEAKER_03,262.2665534804754,263.6247877758914
SPEAKER_03,389.00679117147706,397.427843803056
SPEAKER_03,397.8522920203735,402.5891341256368
SPEAKER_03,403.5229202037351,405.2546689303905
SPEAKER_03,405.6281833616299,414.01528013582345
SPEAKER_03,414.2359932088285,418.68421052631584
SPEAKER_03,418.76910016977934,436.03565365025474
SPEAKER_03,457.258064516129,471.7572156196944
SPEAKER_03,490.2461799660441,492.741935483871
SPEAKER_03,494.8471986417658,508.2597623089984
SPEAKER_03,509.804753820034,511.9100169779288
SPEAKER_02,381.5704584040748,383.9983022071308
SPEAKER_02,519.4482173174872,524.7283531409169
SPEAKER_02,525.3904923599321,529.7707979626487
SPEAKER_02,530.195246179966,531.4855687606112
SPEAKER_02,532.0118845500849,536.3412563667232
SPEAKER_02,536.7147707979627,538.6332767402378
SPEAKER_02,538.9049235993209,592.3005093378608
SPEAKER_02,592.4872665534804,593.6247877758913
SPEAKER_02,593.760611205433,594.4397283531409
